filename,video_id,m1,m2,m3,m1_idx,m2_idx,m3_idx,sequence_class,set_vector,set_sorted,ordering_within_set,filepath
000_DF_F2F_FS.mp4,000,DF,F2F,FS,0,1,3,1,"1,1,0,1,0",DF-F2F-FS,0,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_F2F_FS.mp4
000_DF_F2F_FSh.mp4,000,DF,F2F,FSh,0,1,2,0,"1,1,1,0,0",DF-F2F-FSh,0,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_F2F_FSh.mp4
000_DF_F2F_NT.mp4,000,DF,F2F,NT,0,1,4,2,"1,1,0,0,1",DF-F2F-NT,0,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_F2F_NT.mp4
000_DF_FSh_F2F.mp4,000,DF,FSh,F2F,0,2,1,3,"1,1,1,0,0",DF-F2F-FSh,1,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_FSh_F2F.mp4
000_DF_FSh_FS.mp4,000,DF,FSh,FS,0,2,3,4,"1,0,1,1,0",DF-FS-FSh,1,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_FSh_FS.mp4
000_DF_FSh_NT.mp4,000,DF,FSh,NT,0,2,4,5,"1,0,1,0,1",DF-FSh-NT,0,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_FSh_NT.mp4
000_DF_FS_F2F.mp4,000,DF,FS,F2F,0,3,1,6,"1,1,0,1,0",DF-F2F-FS,1,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_FS_F2F.mp4
000_DF_FS_FSh.mp4,000,DF,FS,FSh,0,3,2,7,"1,0,1,1,0",DF-FS-FSh,0,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_FS_FSh.mp4
000_DF_FS_NT.mp4,000,DF,FS,NT,0,3,4,8,"1,0,0,1,1",DF-FS-NT,0,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_FS_NT.mp4
000_DF_NT_F2F.mp4,000,DF,NT,F2F,0,4,1,9,"1,1,0,0,1",DF-F2F-NT,1,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_NT_F2F.mp4
000_DF_NT_FS.mp4,000,DF,NT,FS,0,4,3,11,"1,0,0,1,1",DF-FS-NT,1,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_NT_FS.mp4
000_DF_NT_FSh.mp4,000,DF,NT,FSh,0,4,2,10,"1,0,1,0,1",DF-FSh-NT,1,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_DF_NT_FSh.mp4
000_F2F_DF_FS.mp4,000,F2F,DF,FS,1,0,3,13,"1,1,0,1,0",DF-F2F-FS,2,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_DF_FS.mp4
000_F2F_DF_FSh.mp4,000,F2F,DF,FSh,1,0,2,12,"1,1,1,0,0",DF-F2F-FSh,2,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_DF_FSh.mp4
000_F2F_DF_NT.mp4,000,F2F,DF,NT,1,0,4,14,"1,1,0,0,1",DF-F2F-NT,2,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_DF_NT.mp4
000_F2F_FSh_DF.mp4,000,F2F,FSh,DF,1,2,0,15,"1,1,1,0,0",DF-F2F-FSh,3,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_FSh_DF.mp4
000_F2F_FSh_FS.mp4,000,F2F,FSh,FS,1,2,3,16,"0,1,1,1,0",F2F-FS-FSh,1,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_FSh_FS.mp4
000_F2F_FSh_NT.mp4,000,F2F,FSh,NT,1,2,4,17,"0,1,1,0,1",F2F-FSh-NT,0,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_FSh_NT.mp4
000_F2F_FS_DF.mp4,000,F2F,FS,DF,1,3,0,18,"1,1,0,1,0",DF-F2F-FS,3,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_FS_DF.mp4
000_F2F_FS_FSh.mp4,000,F2F,FS,FSh,1,3,2,19,"0,1,1,1,0",F2F-FS-FSh,0,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_FS_FSh.mp4
000_F2F_FS_NT.mp4,000,F2F,FS,NT,1,3,4,20,"0,1,0,1,1",F2F-FS-NT,0,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_FS_NT.mp4
000_F2F_NT_DF.mp4,000,F2F,NT,DF,1,4,0,21,"1,1,0,0,1",DF-F2F-NT,3,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_NT_DF.mp4
000_F2F_NT_FS.mp4,000,F2F,NT,FS,1,4,3,23,"0,1,0,1,1",F2F-FS-NT,1,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_NT_FS.mp4
000_F2F_NT_FSh.mp4,000,F2F,NT,FSh,1,4,2,22,"0,1,1,0,1",F2F-FSh-NT,1,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_F2F_NT_FSh.mp4
000_FSh_DF_F2F.mp4,000,FSh,DF,F2F,2,0,1,24,"1,1,1,0,0",DF-F2F-FSh,4,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_DF_F2F.mp4
000_FSh_DF_FS.mp4,000,FSh,DF,FS,2,0,3,25,"1,0,1,1,0",DF-FS-FSh,4,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_DF_FS.mp4
000_FSh_DF_NT.mp4,000,FSh,DF,NT,2,0,4,26,"1,0,1,0,1",DF-FSh-NT,2,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_DF_NT.mp4
000_FSh_F2F_DF.mp4,000,FSh,F2F,DF,2,1,0,27,"1,1,1,0,0",DF-F2F-FSh,5,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_F2F_DF.mp4
000_FSh_F2F_FS.mp4,000,FSh,F2F,FS,2,1,3,28,"0,1,1,1,0",F2F-FS-FSh,4,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_F2F_FS.mp4
000_FSh_F2F_NT.mp4,000,FSh,F2F,NT,2,1,4,29,"0,1,1,0,1",F2F-FSh-NT,2,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_F2F_NT.mp4
000_FSh_FS_DF.mp4,000,FSh,FS,DF,2,3,0,30,"1,0,1,1,0",DF-FS-FSh,5,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_FS_DF.mp4
000_FSh_FS_F2F.mp4,000,FSh,FS,F2F,2,3,1,31,"0,1,1,1,0",F2F-FS-FSh,5,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_FS_F2F.mp4
000_FSh_FS_NT.mp4,000,FSh,FS,NT,2,3,4,32,"0,0,1,1,1",FS-FSh-NT,2,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_FS_NT.mp4
000_FSh_NT_DF.mp4,000,FSh,NT,DF,2,4,0,33,"1,0,1,0,1",DF-FSh-NT,3,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_NT_DF.mp4
000_FSh_NT_F2F.mp4,000,FSh,NT,F2F,2,4,1,34,"0,1,1,0,1",F2F-FSh-NT,3,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_NT_F2F.mp4
000_FSh_NT_FS.mp4,000,FSh,NT,FS,2,4,3,35,"0,0,1,1,1",FS-FSh-NT,3,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FSh_NT_FS.mp4
000_FS_DF_F2F.mp4,000,FS,DF,F2F,3,0,1,36,"1,1,0,1,0",DF-F2F-FS,4,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_DF_F2F.mp4
000_FS_DF_FSh.mp4,000,FS,DF,FSh,3,0,2,37,"1,0,1,1,0",DF-FS-FSh,2,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_DF_FSh.mp4
000_FS_DF_NT.mp4,000,FS,DF,NT,3,0,4,38,"1,0,0,1,1",DF-FS-NT,2,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_DF_NT.mp4
000_FS_F2F_DF.mp4,000,FS,F2F,DF,3,1,0,39,"1,1,0,1,0",DF-F2F-FS,5,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_F2F_DF.mp4
000_FS_F2F_FSh.mp4,000,FS,F2F,FSh,3,1,2,40,"0,1,1,1,0",F2F-FS-FSh,2,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_F2F_FSh.mp4
000_FS_F2F_NT.mp4,000,FS,F2F,NT,3,1,4,41,"0,1,0,1,1",F2F-FS-NT,2,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_F2F_NT.mp4
000_FS_FSh_DF.mp4,000,FS,FSh,DF,3,2,0,42,"1,0,1,1,0",DF-FS-FSh,3,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_FSh_DF.mp4
000_FS_FSh_F2F.mp4,000,FS,FSh,F2F,3,2,1,43,"0,1,1,1,0",F2F-FS-FSh,3,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_FSh_F2F.mp4
000_FS_FSh_NT.mp4,000,FS,FSh,NT,3,2,4,44,"0,0,1,1,1",FS-FSh-NT,0,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_FSh_NT.mp4
000_FS_NT_DF.mp4,000,FS,NT,DF,3,4,0,45,"1,0,0,1,1",DF-FS-NT,3,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_NT_DF.mp4
000_FS_NT_F2F.mp4,000,FS,NT,F2F,3,4,1,46,"0,1,0,1,1",F2F-FS-NT,3,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_NT_F2F.mp4
000_FS_NT_FSh.mp4,000,FS,NT,FSh,3,4,2,47,"0,0,1,1,1",FS-FSh-NT,1,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_FS_NT_FSh.mp4
000_NT_DF_F2F.mp4,000,NT,DF,F2F,4,0,1,48,"1,1,0,0,1",DF-F2F-NT,4,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_NT_DF_F2F.mp4
000_NT_DF_FS.mp4,000,NT,DF,FS,4,0,3,50,"1,0,0,1,1",DF-FS-NT,4,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_NT_DF_FS.mp4
000_NT_DF_FSh.mp4,000,NT,DF,FSh,4,0,2,49,"1,0,1,0,1",DF-FSh-NT,4,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_NT_DF_FSh.mp4
000_NT_F2F_DF.mp4,000,NT,F2F,DF,4,1,0,51,"1,1,0,0,1",DF-F2F-NT,5,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_NT_F2F_DF.mp4
000_NT_F2F_FS.mp4,000,NT,F2F,FS,4,1,3,53,"0,1,0,1,1",F2F-FS-NT,4,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_NT_F2F_FS.mp4
000_NT_F2F_FSh.mp4,000,NT,F2F,FSh,4,1,2,52,"0,1,1,0,1",F2F-FSh-NT,4,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_NT_F2F_FSh.mp4
000_NT_FSh_DF.mp4,000,NT,FSh,DF,4,2,0,54,"1,0,1,0,1",DF-FSh-NT,5,C:/Users/Student/Desktop/seqdf_project/generated_videos\000_NT_FSh_DF.mp4
